"Reference","Value","Footprint","Datasheet","Qty","DNP","Exclude from BOM","Exclude from Board"
"CP1,CP2,CP3,CP4,CP5","0.1u","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~","5","","",""
"IC1","HM62256BLP","Package_DIP:DIP-28_W15.24mm","https://web.mit.edu/6.115/www/document/62256.pdf","1","","",""
"IC2","74HC30","Package_DIP:DIP-14_W7.62mm","https://www.ti.com/lit/ds/symlink/cd74hc30.pdf?ts=1704693560763&ref_url=https%253A%252F%252Fwww.ti.com%252Fproduct%252Fja-jp%252FCD74HC30","1","","",""
"IC3","74HC138","Package_DIP:DIP-16_W7.62mm","http://www.ti.com/lit/ds/symlink/cd74hc238.pdf","1","","",""
"IC4","74HC32","Package_DIP:DIP-14_W7.62mm","http://www.ti.com/lit/gpn/sn74LS32","1","","",""
"IC5","74HC541","Package_DIP:DIP-20_W7.62mm","https://toshiba.semicon-storage.com/info/TC74HC541AP_datasheet_ja_20140301.pdf?did=16392&prodName=TC74HC541AP","1","","",""
"J1,J4","Expantion_Connector","Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical","~","2","","",""
"J2,J6,J7","Conn_01x02_Pin","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","3","","",""
"J3,J5","Conn_01x08_Pin","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","~","2","","",""
"JP1","Conn_02x17_Counter_Clockwise","Connector_PinHeader_2.54mm:PinHeader_2x17_P2.54mm_Vertical","~","1","","",""
"JP2","Jumper_2_Bridged","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","1","","",""
"RN1","10k","Resistor_THT:R_Array_SIP9","http://www.vishay.com/docs/31509/csc.pdf","1","","",""
"SW1","SW_DIP_x08","Button_Switch_THT:SW_DIP_SPSTx08_Slide_9.78x22.5mm_W7.62mm_P2.54mm","~","1","","",""
"TP1","~{IRQ}","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~","1","","",""
